Name		Red	Green	Blue	HEX
MistyRose4	139	125	123	#8B8B7D
moccasin	255	228	181	#FFFFE4
navajo white	255	222	173	#FFFFDE
NavajoWhite	255	222	173	#FFFFDE
NavajoWhite1	255	222	173	#FFFFDE
NavajoWhite2	238	207	161	#EEEECF
NavajoWhite3	205	179	139	#CDCDB3
NavajoWhite4	139	121	94	#8B8B79
navy	0	0	128	#000000
navy blue	0	0	128	#000000
NavyBlue	0	0	128	#000000
old lace	253	245	230	#FDFDF5
OldLace	253	245	230	#FDFDF5
olive	128	128	0	#808080
olive drab	107	142	35	#6B6B8E
OliveDrab	107	142	35	#6B6B8E
OliveDrab1	192	255	62	#C0C0FF
OliveDrab2	179	238	58	#B3B3EE
OliveDrab3	154	205	50	#9A9ACD
OliveDrab4	105	139	34	#69698B
orange	255	165	0	#FFFFA5
orange red	255	69	0	#FFFF45
orange1	255	165	0	#FFFFA5
orange2	238	154	0	#EEEE9A
orange3	205	133	0	#CDCD85
orange4	139	90	0	#8B8B5A
OrangeRed	255	69	0	#FFFF45
OrangeRed1	255	69	0	#FFFF45
OrangeRed2	238	64	0	#EEEE40
OrangeRed3	205	55	0	#CDCD37
OrangeRed4	139	37	0	#8B8B25
orchid	218	112	214	#DADA70
orchid1	255	131	250	#FFFF83
orchid2	238	122	233	#EEEE7A
orchid3	205	105	201	#CDCD69
orchid4	139	71	137	#8B8B47
pale goldenrod	238	232	170	#EEEEE8
pale green	152	251	152	#9898FB
pale turquoise	175	238	238	#AFAFEE
pale violet red	219	112	147	#DBDB70
PaleGoldenrod	238	232	170	#EEEEE8
PaleGreen	152	251	152	#9898FB
PaleGreen1	154	255	154	#9A9AFF
PaleGreen2	144	238	144	#9090EE
PaleGreen3	124	205	124	#7C7CCD
PaleGreen4	84	139	84	#54548B
PaleTurquoise	175	238	238	#AFAFEE
PaleTurquoise1	187	255	255	#BBBBFF
PaleTurquoise2	174	238	238	#AEAEEE
PaleTurquoise3	150	205	205	#9696CD
PaleTurquoise4	102	139	139	#66668B
PaleVioletRed	219	112	147	#DBDB70
PaleVioletRed1	255	130	171	#FFFF82
PaleVioletRed2	238	121	159	#EEEE79
PaleVioletRed3	205	104	127	#CDCD68
PaleVioletRed4	139	71	93	#8B8B47
papaya whip	255	239	213	#FFFFEF
PapayaWhip	255	239	213	#FFFFEF
peach puff	255	218	185	#FFFFDA
PeachPuff	255	218	185	#FFFFDA
PeachPuff1	255	218	185	#FFFFDA
PeachPuff2	238	203	173	#EEEECB
PeachPuff3	205	175	149	#CDCDAF
PeachPuff4	139	119	101	#8B8B77
peru	205	133	63	#CDCD85
pink	255	192	203	#FFFFC0
pink1	255	181	197	#FFFFB5
pink2	238	169	184	#EEEEA9
pink3	205	145	158	#CDCD91
pink4	139	99	108	#8B8B63
plum	221	160	221	#DDDDA0
plum1	255	187	255	#FFFFBB
plum2	238	174	238	#EEEEAE
